Marque,Libelle_modele,Modele,Energie,Cylindree,Poids_a_vide,Essai_CO2_type_1,Essai_HC,Essai_Nox,Essai_HCNox,Prix_vehicule,PGR_CO2,PGR_HC,PGR_cumul
B.M.W.,SERIE_4,440,ELEC+GAZOLE_HR,2993,1980,0.114,0.013999999999999999,0.033,0.047,78250,0.114,0.35,0.46399999999999997
B.M.W.,SERIE_X,X5,ELEC+GAZOLE_HR,2993,2190,0.141,0.018000000000000002,0.045,0.063,79017,0.141,0.45000000000000007,0.5910000000000001
B.M.W.,SERIE_X,X2,ESSENCE,1499,1430,0.312,0.031,0.016,,42517,0.312,0.775,1.087
FORD,KUGA,KUGA,ESS+ELEC_HNR,2488,1626,0.205,0.011,0.01,,41512,0.205,0.27499999999999997,0.48
MERCEDES,CLASSE_E,E_200,GAZOLE,1950,1795,0.022,0.006000000000000002,0.029,0.035,70950,0.022,0.15000000000000005,0.17200000000000004
B.M.W.,M4,M4,ESSENCE,2993,1725,0.206,0.013,0.017,,104550,0.206,0.325,0.531
MINI,MINI,COUNTRYMAN,ESSENCE,1499,1390,0.136,0.016,0.008,,32880,0.136,0.4,0.536
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1457,0.312,0.015,0.024,,42920,0.312,0.375,0.687
RENAULT,TRAFIC,TRAFIC,GAZOLE,1997,1962,0.04,0.006999999999999999,0.038,0.045,41350,0.04,0.175,0.215
KIA,PROCEED,PROCEED,ESSENCE,1591,1363,0.57,0.028,0.01,,37790,0.57,0.7000000000000001,1.27
PEUGEOT,2008,2008,GAZOLE,1499,1270,0.05,0.0050000000000000044,0.053,0.058,33910,0.05,0.1250000000000001,0.1750000000000001
FORD,TRANSIT_CUSTOM,TRANSIT_CUSTOM,GAZOLE,1995,2093,0.044,0.006,0.02,0.026,52346,0.044,0.15,0.194
B.M.W.,SERIE_1,120,GAZOLE,1995,1515,0.071,0.037000000000000005,0.021,0.058,46988,0.071,0.9250000000000002,0.9960000000000001
SEAT,ATECA,ATECA,GAZOLE,1968,1452,0.036,0.012,0.027,0.037,40395,0.036,0.3,0.33599999999999997
MERCEDES,CLASSE_E,E_200,GAZOLE,1950,1725,0.022,0.006000000000000002,0.029,0.035,72300,0.022,0.15000000000000005,0.17200000000000004
DACIA,SANDERO,SANDERO,ESSENCE,999,1096,0.266,0.035,0.021,,15900,0.266,0.8750000000000001,1.141
MINI,MINI,MINI,ESSENCE,1499,1230,0.2,0.019,0.01,,33325,0.2,0.475,0.675
FIAT,PANDA,PANDA,ESS+ELEC_HNR,999,999,0.3,0.028,0.022,,15940,0.3,0.7000000000000001,1.0
MINI,MINI,MINI,ESSENCE,1998,1275,0.227,0.016,0.01,,40700,0.227,0.4,0.627
FORD,KUGA,KUGA,ESS+ELEC_HNR,2488,1626,0.205,0.011,0.01,,41512,0.205,0.27499999999999997,0.48
CITROEN,C4,C4,ESSENCE,1199,1247,0.334,0.024,0.023,,28938,0.334,0.6,0.9339999999999999
VOLKSWAGEN,PASSAT,PASSAT,GAZOLE,1968,1634,0.021,0.011000000000000003,0.038,0.049,56873,0.021,0.2750000000000001,0.2960000000000001
